saved,run_dir,backbone,stage,best_epoch,val_acc,image_size,epochs,ext_ratio,ext_source,sketch_prob,grayscale,train_on_all,val_leaked
2026-09-07 12:02,_archive\models,tf_efficientnetv2_s.in21k_ft_in1k,base,13,96.05,192,20,,,,,False,
2026-09-07 13:24,_archive\models,tf_efficientnetv2_s.in21k_ft_in1k,pseudo1,15,96.62,192,20,,,,,False,
2026-09-08 15:45,v8_painting,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,base,15,98.52,192,16,0.25,,0.0,0.0,False,
2026-09-08 15:45,v8_painting,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo1,5,98.66,192,16,0.25,,0.0,0.0,False,
2026-09-08 16:26,_archive\models\v8_pseudo2_dead,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo2,2,98.38,192,16,0.25,,0.0,0.0,False,
2026-09-08 16:26,v7_tiny_noext,convnext_tiny.in12k_ft_in1k,base,12,98.59,192,20,,,0.15,0.15,False,
2026-09-08 16:26,v7_tiny_noext,convnext_tiny.in12k_ft_in1k,pseudo1,20,98.45,192,20,,,0.15,0.15,False,
2026-09-08 16:26,v7_tiny_noext,convnext_tiny.in12k_ft_in1k,pseudo2,7,98.45,192,20,,,0.15,0.15,False,
2026-09-08 16:35,_archive\models\v8c_tiny_ext,convnext_tiny.in12k_ft_in1k,base,10,98.24,192,16,0.25,,0.0,0.0,False,
2026-09-08 16:47,_archive\models\v8c_tiny_ext,convnext_tiny.in12k_ft_in1k,pseudo1,6,98.03,192,16,0.25,,0.0,0.0,False,
2026-09-08 17:49,_archive\models\v8_r35,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,base,14,98.52,192,16,0.35,,0.0,0.0,False,
2026-09-08 17:49,_archive\models\v8_r35,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo1,16,98.52,192,16,0.35,,0.0,0.0,False,
2026-09-08 18:22,v8_vit,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,base,13,98.31,192,16,0.25,,0.0,0.0,False,
2026-09-08 18:22,v8_vit,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,pseudo1,16,98.59,192,16,0.25,,0.0,0.0,False,
2026-09-08 19:46,v8_win_0947,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,base,15,98.52,192,16,0.25,,0.0,0.0,False,
2026-09-08 19:46,v8_win_0947,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo1,5,98.66,192,16,0.25,,0.0,0.0,False,
2026-09-08 19:46,v8_win_0947,convnext_tiny.in12k_ft_in1k,pseudo2,7,98.45,192,20,,,0.15,0.15,False,
2026-09-08 19:46,v8_win_0947,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,base,13,98.31,192,16,0.25,,0.0,0.0,False,
2026-09-08 19:46,v8_win_0947,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,pseudo1,16,98.59,192,16,0.25,,0.0,0.0,False,
2026-09-08 21:20,v8e_paint_inr,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,base,15,98.66,192,16,0.25,painting+inr_v1,0.0,0.0,False,
